amh_1_1_12	amh_1_2_10	amh_2_1_12	amh_2_2_12	ban_1_1_12	ban_1_2_10	ban_2_1_10	ban_2_2_10	bed_1_1_12	bed_1_2_10	bed_2_1_12	bed_2_2_10	bpl_1_1_10	bpl_1_2_12	bpl_2_1_10	bpl_2_2_12	btt_1_1_12	btt_1_2_10	btt_2_1_12	btt_2_2_12	cmp_1_1_10	cmp_1_2_12	cmp_2_1_10	cmp_2_2_10	cpi_1_1_12	cpi_1_2_10	cpi_2_1_12	cpi_2_2_12	cqc_1_1_10	cqc_1_2_12	cqc_2_1_10	cqc_2_2_10
26.9925844538597	26.9388885299387	27.1741839229498	27.1348833815174	28.2985136064503	28.1265237024727	27.8450590090092	28.0557650697499	27.2419948652616	27.4307840036692	27.4964225623248	28.2777468544755	24.8782172047038	24.61383189028	NA	NA	26.8290666887044	26.6689746560932	26.9717406203427	26.9862139333627	28.558475757787	27.7743435778695	28.0669735674067	28.4951364245263	26.707322226643	26.820882347979	26.8159914858572	26.6358438402593	28.5894609144362	28.2980301026905	27.8901982644462	28.6208578535917
26.8521470184466	26.8378623360755	26.8357070026759	26.7216923709949	26.9777203303432	27.0450126800934	26.5105312824042	26.5169584677463	26.5465055312836	26.4594625586901	26.3661437843396	26.6197599179234	26.4757428416947	26.3743420922521	26.9225891635939	26.9393917020021	26.7299199341586	26.654945954201	27.153781908101	27.0671221076889	26.9518951435939	26.8194305985949	26.8267879863477	26.6486260285895	26.9454211227185	26.6418323787393	26.8471626106513	26.9012228862339	27.0449709166556	26.7274384138394	26.9002274477467	26.9678668908396
22.4515298021678	NA	23.7673639669404	NA	23.3076358512066	23.2280536686743	NA	22.8413890611377	23.2210859025992	23.4225220466559	22.9443495991811	23.0587590624266	22.776392632873	22.9343555919769	22.9379413914223	23.1895464408125	23.3415004890906	23.3141430829475	22.8382553977917	22.9811859816356	23.0508823235203	22.5013070122491	23.2941140298102	NA	23.6561043213308	NA	23.3095018616144	22.5803701365756	23.6324433675083	NA	NA	NA
23.435950676197	23.7844861426746	23.129627452146	23.1188509069781	23.1258886900595	NA	22.9667411873245	22.8444323425334	22.9912028817331	23.2166956960207	22.6124408126596	22.7890195621888	22.0631794433741	21.7141758288413	23.0914420133444	NA	23.225122527158	22.2023419122432	22.9720187034277	22.8005081842157	22.5655058585572	NA	22.7042014675716	23.441374349349	23.5374531967645	23.7297288857634	23.2591254422115	23.9376220577107	NA	21.7112841234295	22.7627790333301	22.9674580409292
26.6227228681425	26.4700061337623	26.7348193119169	26.4780404680621	26.7763303386645	26.7371019306434	26.712165818677	27.0947505637405	26.6242216248797	26.644263540869	26.3229723093743	26.1408685982402	26.0912449664415	25.9698626101536	25.5794368567569	25.9951205256679	26.1856601770597	26.1845273804644	25.7987270336051	26.2264583148189	27.3030727009259	27.4028962435221	26.9244009907882	26.6599114939518	26.6733415772817	26.5296510503145	25.476252894599	26.0705155822917	27.6953527880874	27.7888528145169	26.4342266559354	27.050914441602
25.2644662063191	22.774676952279	23.8550891446665	24.9200900347349	25.6095127627694	25.9508258335003	25.3325952454268	25.5058417422675	24.8905282559652	23.9099846620861	25.424669488718	24.3321914124392	24.9304021559098	25.8152198088975	24.5268675064908	26.5297130418218	26.593830913369	24.685058028994	25.3708293332893	25.2054263786504	25.4647102314807	25.5519097429993	25.853006758335	25.9523170567287	24.2804258922632	NA	25.7576573833038	25.9480966956417	25.7844842715945	25.6061558429204	25.8296167578811	25.8609746157784
23.3650996120108	23.3182776668213	23.5264595875589	23.3914195292174	23.9158363633368	24.6401709479205	23.6532721296234	24.2976267101937	24.6525701300427	24.3262930717754	24.3906092482695	25.1100673745174	23.3335309613536	NA	NA	NA	NA	NA	NA	NA	25.6173441801644	25.5054717069746	25.0522482154209	24.939839477371	NA	23.1753424806343	NA	NA	25.2383385397626	25.5645682780761	23.984302366375	24.769370075792
25.2458942369803	25.1270136177237	25.4766409630715	25.2802356783199	25.8379167352422	24.8488552570421	25.0615851458887	25.3255855998349	25.1956850703582	25.6332381838698	24.8013664106888	24.8425645967397	25.8036784709131	24.5056951045629	26.2092690227762	23.7869995123208	24.3417767824855	25.4879404914673	24.0149754828763	24.0471918150486	26.0384268005102	25.5919351945871	25.3492957380457	25.2667458120548	25.1333721865848	25.2858534451608	24.7932666269083	23.9605621044249	26.0669605102085	25.7273497322024	25.0929120510392	25.0204650939075
25.0111707894891	26.2684867373752	25.7967789323644	26.3276695474303	25.9751770954387	26.4529393661644	27.4115977235385	26.2869042556109	25.8416774581923	25.977779383571	25.6788999849235	26.3035756235327	25.6026195623467	25.5850528961762	25.7207156876303	25.2755973852795	23.9672654786676	25.6542542310413	24.4997997308711	26.1202260381354	26.3169199566093	26.1967207018686	26.195123818694	26.2039429156118	26.2851398803185	23.7952978043812	26.3375477898082	26.1345294547402	29.563084442071	26.4179272028762	26.2385455146754	26.1832282610903
32.1800797286113	32.0526081940811	32.4905022717595	32.1841708651911	32.5291052482119	32.5402947631048	32.3691134364964	32.7961479127147	32.5201987267291	32.4523310309664	32.0503453599443	32.4078882075411	32.0771525871625	32.1459742134824	32.206226733633	31.7723389065858	32.3735538973401	32.2430801451804	32.2074953580489	32.3883841265445	33.1991701786035	32.9659532549954	32.5831490251937	32.5560654403831	32.08571275014	31.8071310963426	32.0143275445928	31.7416631740085	32.9807850349735	33.4100108478796	32.0720960641923	32.7528995044436
23.7561189842798	23.9870755631522	24.5231462899598	24.2577175045838	23.8548887906169	24.2683971756517	24.2261069567046	24.0663075157386	23.795573407023	23.9982118450979	24.1534503741881	24.2932891985731	24.0361874242363	23.6539568179303	24.1178185966967	22.9819481209147	24.0226449961813	NA	23.8422538952514	23.7479575031363	24.6324437789988	23.8256568900935	24.5046827033602	24.9481270258071	23.4293556703397	23.6240149722119	23.4627171541025	23.5279513759028	25.6966936125011	25.6079150950822	24.1354784879352	24.9133224740658
26.1675477124202	26.8547331648803	27.3366134823211	27.2673849517078	27.0985453527715	27.0285616961362	27.4858186294555	27.5948008130368	26.5680641905164	27.1702419227593	26.9459559436209	27.1868829715682	26.2647594495573	26.4344451341352	26.7181632887869	26.6285888402353	27.5558834122673	27.1096304270983	26.9720664935604	26.4187318094743	28.2657493592672	28.1176732271853	27.7241187813652	27.9439355258663	26.6417224951872	26.7351812544636	27.0411431265777	27.0423077813907	27.2027858730136	27.4917011004658	26.7385931323178	27.5379914162003
24.7615563870823	25.2808714401233	25.5666503613814	25.4567993825081	25.5463311742307	25.3030909302483	25.0680564430744	25.528176968412	24.622939165872	24.2828778489713	24.5532749219267	24.938247944795	24.543489933528	24.6252811898457	24.928513215902	24.4040582191824	24.9143756142877	25.1241711412056	25.3261859831479	24.9667080274858	25.5246298230216	25.1849921660722	26.0066374458315	25.6475189800513	25.1535194016112	25.1643261683801	25.5128963319439	24.9355693286812	26.1836361070934	26.0608181593387	25.867469704129	26.2186423775898
28.7845945337766	28.914104538922	28.9204104042749	28.8944180286768	29.4066365512553	29.4889771456027	28.8814455774581	29.2536809152484	28.7000335176413	28.7232676439198	28.8337735993344	29.7322844678851	28.1738677476456	28.077619330496	28.4274085614175	27.9822153765304	28.4292481768666	28.3110068981097	28.8134167381533	28.7902213178906	29.1719697429189	29.1087879318377	29.7917877532509	29.73691782462	29.0015311434462	28.8650705470463	29.3848794581537	29.165277893711	29.6660728129282	29.3153538541426	29.2352859635628	29.8363961203015
27.4916256283762	27.4680472131029	27.9405583249011	27.9522671724422	27.6462033506924	27.8239911503076	27.5957994417372	28.4110769337966	27.9170586018354	27.9969709695177	28.1290955823229	28.3793077137096	27.1597540458356	26.9737539005529	26.7280185494017	26.5305948994847	27.9350879075224	27.4743338104677	27.5609698480221	27.1965748882415	28.8507118599884	28.4285287393386	28.5391175934971	28.5343449620405	27.4875162205407	27.383145800441	27.6464744287244	27.3696453128403	28.6153215964819	28.4635945859184	27.7474712836642	28.630406015724
29.8046192641947	29.5894415920078	29.7637193082022	29.8099917722504	29.4068471944213	28.9866206109198	29.6129857358988	29.3815963934873	29.953962295079	29.8363799666534	29.7098507753694	29.5152162260681	28.5879227523068	28.3381066159575	29.0115727743636	29.0585143041959	29.3918173617155	28.7798754772097	29.4300854630032	29.496476100447	28.8053901324163	29.2746863970327	29.1301231061172	29.0932145907953	29.7943240430079	29.9698148625844	30.0815971500245	29.9006251256946	28.4625336572534	29.7163107455533	29.7767996574177	29.6368648660081
30.3956766792137	30.5257276944154	31.0783989327332	30.9566356478553	31.2379420607654	31.1555960912374	31.309061904992	31.6920000776153	31.0568750343913	31.0934553151513	31.0114424867888	31.225147160261	28.7708280525941	28.8951440658566	29.0311637186586	29.0998007702255	30.0553158809174	29.7984006598006	30.2532377808343	30.1411803158727	31.7665618413979	31.6434146492733	31.557687289496	31.6720575108545	30.5205622474282	30.4133466922704	30.6050455911719	30.7232728773239	31.4196871763707	31.9590551648267	31.1803934920796	31.7744764266544
